rt,muziek,gender,geboortejaar,woonplaats,godsdienst,moedertaal,diploma_vader,diploma_moeder,secundair,uren_wiskunde,uren_nederlands,vakken_hernemen,studie_efficientie,inschrijving_ozt,traject,keuze_2ti,leerstoornis,beweging_ud,sport_uw,boeken_m,alcohol_w,frq_cannabis,uur_slaap,slaapkwaliteit,slaappatroon,wakker_worden,score_1,uren_slaap_1,interessant_1,uitgerust_1,gestresseerd_1,onthouden_1,score_2,uren_slaap_2,interessant_2,uitgerust_2,gestresseerd_2,onthouden_2
Nee,Nee,Man,1994,Stad,agnost,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,8,5,Nee,75-100%,1,aangepast,Programmeren,Paniekaanvallen;,1,1,1,7,Zelden,7,"Noch slecht, noch goed",Onregelmatig,Af en toe,11,7,Oneens,"Noch eens, noch oneens","Noch eens, noch oneens",Helemaal eens,14,3,Eens,Helemaal oneens,"Noch eens, noch oneens",Helemaal eens
Ja ,Ja,Man,1998,Platteland,christen,Nederlands,Lagere school,Bachelor of equivalent,TSO,8,3,Nee,75-100%,1,model,Programmeren,,2,3,2,15,Nooit,7,Goed,Regelmatig,Nooit,7,7,Eens,Eens,Helemaal oneens,"Noch eens, noch oneens",6,8,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Nee,Man,1997,Stad,atheïst,Nederlands,Master of equivalent buiten universiteit,Bachelor of equivalent,TSO,5,2,Ja,50-74%,1,aangepast,Programmeren,AD(H)D;,4,0,1,3,Zelden,6,Goed,Onregelmatig,Zelden,5,6,"Noch eens, noch oneens","Noch eens, noch oneens",Helemaal eens,"Noch eens, noch oneens",,,,,,
Nee,Ja,Man,1995,Dorp,atheïst,Nederlands,Weet niet,Weet niet,TSO,3,4,Ja,75-100%,1,aangepast,Systeembeheer,,0.5,3.5,0,0.5,Nooit,7,Zeer goed,Regelmatig,Zelden,4,8,Eens,Eens,Eens,Eens,8,7,"Noch eens, noch oneens",Eens,Eens,"Noch eens, noch oneens"
Ja ,Nee,Man,1995,Platteland,christen,Nederlands,Hoger secundair,Hoger secundair,TSO,6,5,Ja,50-74%,2,aangepast,Systeembeheer,,6,36,0,4,Nooit,6,Slecht,Zeer onregelmatig,Zelden,20,6,Eens,Helemaal eens,Helemaal oneens,Eens,5,4,Eens,"Noch eens, noch oneens",Oneens,Oneens
Ja ,Ja,Man,1999,Stad,atheïst,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,TSO,5,4,Ja,75-100%,1,aangepast,Programmeren,,1.75,1,0,3,Nooit,8,Zeer goed,"Noch onregelmatig, noch regelmatig",Zelden,5,6,Eens,Eens,Oneens,"Noch eens, noch oneens",7,9,Eens,Eens,Oneens,"Noch eens, noch oneens"
Nee,Ja,Man,1999,Platteland,atheïst,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,8,4,Nee,75-100%,1,model,Systeembeheer,Tinitus (oorsuizingen);,2,1,0,30,Nooit,7,Goed,Onregelmatig,Af en toe,18,6,Eens,Helemaal oneens,Helemaal oneens,Eens,10,13,"Noch eens, noch oneens",Helemaal oneens,Eens,Eens
Ja ,Ja,Man,1998,Platteland,christen,Frans,Hoger secundair,Hoger secundair,ASO,3,4,Ja,75-100%,1,aangepast,Programmeren,,1,2,1,0,Nooit,8,Slecht,Regelmatig,Zelden,,,,,,,,,,,,
Ja ,Ja,Man,1998,Platteland,christen,Frans,Hoger secundair,Hoger secundair,ASO,3,4,Ja,75-100%,1,aangepast,Programmeren,,1,0,1,0,Nooit,9,Slecht,Regelmatig,Zelden,12,8,"Noch eens, noch oneens",Oneens,Oneens,Eens,3,9,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens",Eens
Nee,Nee,Man,1998,Platteland,atheïst,Nederlands,Bachelor of equivalent,Hoger secundair,TSO,4,4,Ja,75-100%,1,aangepast,Programmeren,,2,1,0,0,Nooit,9,Goed,Zeer onregelmatig,Nooit,12,8,Helemaal eens,Eens,Oneens,Eens,13,7.5,Helemaal oneens,"Noch eens, noch oneens",Oneens,Eens
