rt,muziek,gender,geboortejaar,woonplaats,godsdienst,moedertaal,diploma_vader,diploma_moeder,secundair,uren_wiskunde,uren_nederlands,vakken_hernemen,studie_efficientie,inschrijving_ozt,traject,keuze_2ti,leerstoornis,beweging_ud,sport_uw,boeken_m,alcohol_w,frq_cannabis,uur_slaap,slaapkwaliteit,slaappatroon,wakker_worden,score_1,uren_slaap_1,interessant_1,uitgerust_1,gestresseerd_1,onthouden_1,score_2,uren_slaap_2,interessant_2,uitgerust_2,gestresseerd_2,onthouden_2
Nee,Nee,Man,1999,Dorp,atheïst,Nederlands,Hoger secundair,Hoger secundair,TSO,4,2,Ja,50-74%,1,aangepast,Programmeren,,2,8,1,1,Nooit,7,Goed,Regelmatig,Zelden,1,6,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",,,,,,
Nee,Nee,Man,1994,Stad,atheïst,Nederlands,Lager secundair,Lager secundair,TSO,2,2,Ja,75-100%,1,aangepast,Programmeren,,2,1,0.33,15,Zelden,7.5,"Noch slecht, noch goed",Regelmatig,Af en toe,7,4,Eens,Helemaal oneens,Helemaal oneens,Eens,9,8,Eens,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Ja,Man,1998,Stad,agnost,Nederlands,Hoger secundair,Hoger secundair,TSO,4,2,Ja,50-74%,2,aangepast,Programmeren,Dyslexie;,2,0,0,3,Nooit,8,"Noch slecht, noch goed",Regelmatig,Af en toe,2,7,"Noch eens, noch oneens",Eens,Oneens,Oneens,7,8,"Noch eens, noch oneens",Oneens,Eens,Helemaal oneens
Ja ,Ja,Man,1999,Platteland,atheïst,Nederlands,Weet niet,Weet niet,TSO,5,2,Nee,50-74%,1,model,Programmeren,,1,0,0,0,Nooit,8,Slecht,Onregelmatig,Zelden,4,7,Oneens,Oneens,"Noch eens, noch oneens",Helemaal oneens,2,5,Helemaal oneens,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens"
Nee,Nee,Man,1997,Platteland,christen,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,8,3,Nee,75-100%,1,aangepast,Programmeren,,2,2,2,10,Zelden,6,"Noch slecht, noch goed",Onregelmatig,Af en toe,11,5,Oneens,Eens,"Noch eens, noch oneens",Eens,15,7,Oneens,Eens,"Noch eens, noch oneens",Eens
Ja ,Ja,Man,1997,Stad,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,6,4,Nee,75-100%,1,model,Systeembeheer,,3,3,0,12,Nooit,8,Goed,"Noch onregelmatig, noch regelmatig",Af en toe,17,8,Eens,Eens,Eens,Eens,15,10,Eens,Eens,Oneens,"Noch eens, noch oneens"
Ja ,Ja,Vrouw,1995,Stad,atheïst,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,8,5,Nee,75-100%,1,model,Programmeren,,1,2,0,20,Nooit,5,Slecht,Zeer onregelmatig,Meestal,14,5,Eens,Oneens,"Noch eens, noch oneens",Eens,9,6,Eens,Eens,Helemaal oneens,Eens
Ja ,Nee,Man,1995,Stad,atheïst,Nederlands,Hoger secundair,Hoger secundair,ASO,7,5,Ja,50-74%,1,aangepast,Programmeren,anxiety;,1.5,4,1,12,Nooit,6,Slecht,Zeer onregelmatig,Af en toe,11,4,Eens,Helemaal oneens,Oneens,Helemaal eens,8,7,"Noch eens, noch oneens",,,
Nee,Nee,Man,1997,Stad,atheïst,Nederlands,Hoger secundair,Hoger secundair,ASO,3,4,Ja,75-100%,1,aangepast,Systeembeheer,,1,0,0,0,Nooit,8,"Noch slecht, noch goed",Zeer onregelmatig,Af en toe,20,,"Noch eens, noch oneens",Eens,Eens,Helemaal eens,11,9,"Noch eens, noch oneens",Helemaal eens,Helemaal oneens,Eens
Nee,Ja,Man,,Platteland,agnost,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,8,4,Nee,75-100%,1,model,Programmeren,,1,5,0,0,Nooit,5,Goed,Regelmatig,Nooit,19,7,Helemaal eens,Helemaal eens,Helemaal oneens,Helemaal eens,,9,Helemaal eens,Eens,Helemaal oneens,Oneens
Ja ,Nee,Man,1998,Stad,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,TSO,4,3,Nee,75-100%,1,model,Programmeren,Dyslexie;,1.5,2,0,15,Nooit,6.5,"Noch slecht, noch goed",Onregelmatig,Zelden,7,7,Eens,Eens,"Noch eens, noch oneens","Noch eens, noch oneens",7,6,Eens,Oneens,Oneens,"Noch eens, noch oneens"
Ja ,Nee,Man,1997,Stad,christen,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,6,4,Ja,50-74%,1,aangepast,Programmeren,,1,4,0,10,Nooit,8,Zeer goed,Regelmatig,Zelden,,,,,,,2,8,Oneens,"Noch eens, noch oneens",Helemaal oneens,Eens
Ja ,Nee,Man,1997,Platteland,christen,Engels,Master of equivalent universiteit,Master of equivalent universiteit,BSO,4,6,Ja,50-74%,1,aangepast,Systeembeheer,Dyslexie;,2,2,2,6,Nooit,7,"Noch slecht, noch goed",Regelmatig,Meermaals per nacht,9,8,Oneens,Eens,Helemaal oneens,"Noch eens, noch oneens",,,,,,
Nee,Ja,Man,1991,Platteland,christen,Nederlands,Doctoraat,Bachelor of equivalent,ASO,2,2,Ja,75-100%,2,aangepast,Programmeren,,1,1,0,10,Nooit,6,Goed,Regelmatig,Zelden,10,6,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",,,,,,
Ja ,Ja,Man,1998,Platteland,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,4,3,Ja,50-74%,2,aangepast,Programmeren,,1.15,1,0,2,Zelden,8,Zeer goed,"Noch onregelmatig, noch regelmatig",Zelden,,,,,,,4,6,"Noch eens, noch oneens",Eens,Oneens,"Noch eens, noch oneens"
Ja ,Ja,Man,1997,Platteland,atheïst,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,8,4,Nee,75-100%,1,model,Programmeren,AD(H)D;,1,6,0,40,Enkele keren per week,6,"Noch slecht, noch goed",Zeer onregelmatig,Af en toe,17,4,Helemaal eens,Oneens,Oneens,Helemaal eens,,,,,,
Nee,Nee,Man,1997,Dorp,atheïst,Nederlands,Lager secundair,Bachelor of equivalent,ASO,5,3,Ja,50-74%,2,aangepast,Programmeren,,4,9,0,4,Maandelijks,8,Goed,Regelmatig,Zelden,13,9,"Noch eens, noch oneens",Eens,Oneens,Eens,3,,,,,
Nee,Nee,Man,1998,Platteland,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,TSO,4,3,Ja,50-74%,2,aangepast,Systeembeheer,,1,10,0,8,Nooit,7,"Noch slecht, noch goed",Onregelmatig,Af en toe,14,,,,,,9,9,"Noch eens, noch oneens",Eens,Helemaal oneens,Eens
Ja ,Nee,Man,1997,Platteland,atheïst,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,TSO,8,3,Ja,75-100%,2,aangepast,Programmeren,Depressie;,1,0,0,2,Nooit,6,Zeer slecht,Regelmatig,Meestal,18,6,Eens,Oneens,"Noch eens, noch oneens",Eens,9,7,Eens,Eens,"Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Ja,Vrouw,1999,Platteland,christen,Nederlands,Hoger secundair,Lager secundair,TSO,6,4,Nee,75-100%,1,model,Systeembeheer,,1,0,0,0,Nooit,7,Slecht,Regelmatig,Af en toe,11,6.1,Eens,Oneens,Oneens,Eens,10,7.33,Eens,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Nee,Man,1999,Stad,christen,Nederlands,Hoger secundair,Hoger secundair,TSO,3,3,Ja,75-100%,1,aangepast,Programmeren,,2,7,0,0,Nooit,6,Goed,Regelmatig,Nooit,8,7,"Noch eens, noch oneens",Eens,Helemaal oneens,Eens,5,7,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens",Eens
Ja ,Nee,Man,1997,Stad,christen,Frans,Master of equivalent universiteit,Hoger secundair,ASO,6,4,Ja,50-74%,1,aangepast,Programmeren,,1,6,0.5,5,Nooit,9,Goed,Zeer regelmatig,Zelden,13,8.5,Eens,Eens,"Noch eens, noch oneens",Eens,10,8,Eens,Helemaal oneens,Eens,Oneens
Nee,Ja,Man,1998,Platteland,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,TSO,3,4,Nee,75-100%,1,model,Programmeren,,1,0,0,2,Zelden,8,Slecht,Onregelmatig,Af en toe,7,6,Oneens,Oneens,"Noch eens, noch oneens",Helemaal oneens,4,7,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens",Helemaal oneens
Ja ,Ja,Man,1999,Platteland,atheïst,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,TSO,6,4,Nee,75-100%,1,model,Programmeren,,3,10,0,5,Maandelijks,8,Goed,Regelmatig,Af en toe,9,5,Oneens,Helemaal oneens,Oneens,"Noch eens, noch oneens",3,8,Oneens,Helemaal eens,Oneens,Oneens
Nee,Nee,Man,1997,Platteland,christen,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,8,4,Nee,75-100%,1,aangepast,Programmeren,Lichte vorm van ADD;,1,0,0,10,Nooit,5,"Noch slecht, noch goed",Zeer onregelmatig,Zelden,13,6,Eens,Eens,Oneens,Oneens,5,7,Eens,"Noch eens, noch oneens",Oneens,Helemaal oneens
Ja ,Ja,Man,1998,Stad,christen,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,6,5,Nee,75-100%,1,model,Systeembeheer,Nachtmerries;,2,0,0,4,Nooit,5,Slecht,Zeer onregelmatig,Af en toe,9,5,Eens,Eens,Helemaal oneens,Helemaal oneens,,,,,,
Nee,Ja,Man,1995,Platteland,christen,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,6,5,Ja,75-100%,2,aangepast,Programmeren,,1.5,6,0,10,Zelden,7,Goed,Regelmatig,Af en toe,24,8.5,Eens,Oneens,Helemaal eens,"Noch eens, noch oneens",10,7,"Noch eens, noch oneens",Oneens,Oneens,"Noch eens, noch oneens"
Ja ,Ja,Man,1999,Stad,agnost,Nederlands,Hoger secundair,Hoger secundair,TSO,4,4,Nee,75-100%,1,model,Systeembeheer,,1,0,0,0,Nooit,8,Zeer goed,Regelmatig,Zelden,17,8,"Noch eens, noch oneens",Helemaal eens,Oneens,Eens,6,9,"Noch eens, noch oneens",Helemaal eens,Helemaal oneens,Oneens
Ja ,Nee,Man,1997,Stad,atheïst,Nederlands,Hoger secundair,Doctoraat,ASO,4,5,Nee,75-100%,1,aangepast,Systeembeheer,Nee;,6,8,2,10,Maandelijks,7,Goed,Zeer onregelmatig,Nooit,12,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",,,,,,
Ja ,Ja,,1999,Anders,atheïst,Nederlands,Hoger secundair,Hoger secundair,ASO,7,2,Ja,50-74%,1,aangepast,Systeembeheer,Dyslexie;Nachtmerries;,0.5,0,0,1,Nooit,6.5,Goed,Onregelmatig,Nooit,8,5,Eens,"Noch eens, noch oneens",Helemaal oneens,Eens,5,7,Eens,Oneens,Eens,Helemaal eens
Nee,Ja,Man,1996,Stad,atheïst,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,7,3,Ja,50-74%,1,aangepast,Systeembeheer,Dyslexie;Paniekaanvallen;Nachtmerries;Depressie;,3,10,0,6,Nooit,6,Slecht,Onregelmatig,Af en toe,14,7,"Noch eens, noch oneens",Eens,Eens,"Noch eens, noch oneens",11,6,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Nee,Man,1999,Stad,christen,Nederlands,Hoger secundair,Bachelor of equivalent,TSO,4,3,Nee,75-100%,1,model,Systeembeheer,,2,0,1,10,Nooit,7,Goed,Regelmatig,Af en toe,15,7,"Noch eens, noch oneens",Eens,Helemaal oneens,Eens,12,5,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Nee,Man,1996,Stad,christen,Nederlands,Doctoraat,Master of equivalent universiteit,ASO,5,4,Ja,75-100%,2,aangepast,Systeembeheer,,3,10,0,3,Nooit,7,Goed,"Noch onregelmatig, noch regelmatig",Zelden,12,7,"Noch eens, noch oneens",Eens,Helemaal oneens,Eens,7,7,"Noch eens, noch oneens",Oneens,Eens,Helemaal eens
Nee,Ja,Man,1995,Stad,atheïst,Nederlands,Doctoraat,Doctoraat,ASO,5,2,Ja,50-74%,2,aangepast,Systeembeheer,Dyslexie;,3,3,0,20,Nooit,6,Zeer slecht,Onregelmatig,Meestal,,,,,,,11,7,Eens,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens"
Nee,Nee,Man,1999,Platteland,christen,Nederlands,Hoger secundair,Bachelor of equivalent,TSO,4,2,Ja,75-100%,1,aangepast,Systeembeheer,,1,0,0,8,Nooit,6,Goed,Regelmatig,Af en toe,,,,,,,,,,,,
Ja ,Nee,Man,1998,Stad,christen,Nederlands,Master of equivalent buiten universiteit,Master of equivalent universiteit,TSO,5,3,Ja,75-100%,1,aangepast,Programmeren,,1,0,1,5,Nooit,7,"Noch slecht, noch goed",Regelmatig,Zelden,9,7,Oneens,Eens,Helemaal oneens,"Noch eens, noch oneens",11,6,Oneens,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Ja,Man,1998,Stad,christen,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,3,5,Ja,50-74%,1,aangepast,Programmeren,AD(H)D;,1,2,0,8,Zelden,6,Goed,"Noch onregelmatig, noch regelmatig",Meestal,10,5,Eens,"Noch eens, noch oneens","Noch eens, noch oneens",Eens,9,7,Eens,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens"
Nee,Ja,Man,1998,Stad,atheïst,Nederlands,Bachelor of equivalent,Lager secundair,TSO,4,4,Nee,75-100%,1,model,Systeembeheer,AD(H)D;,4,3,1,8,Enkele keren per week,7,Slecht,Onregelmatig,Af en toe,2,4,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",9,9,Eens,Helemaal eens,Oneens,Eens
Nee,Ja,Man,1999,Dorp,christen,Nederlands,Lager secundair,Hoger secundair,ASO,4,5,Ja,75-100%,1,model,Systeembeheer,,2,0,0,4,Nooit,7.5,"Noch slecht, noch goed",Regelmatig,Af en toe,14,7,"Noch eens, noch oneens","Noch eens, noch oneens",Oneens,"Noch eens, noch oneens",,,,,,
Ja ,Nee,Man,1998,Platteland,christen,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,TSO,3,3,Ja,50-74%,1,aangepast,Systeembeheer,,1,6,1,1,Nooit,7,Goed,Regelmatig,Zelden,15,8,Eens,Eens,Oneens,Eens,13,8,Eens,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Nee,Man,1998,Platteland,agnost,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,6,4,Ja,50-74%,1,aangepast,Programmeren,,2,0,2,1,Nooit,7,Goed,Regelmatig,Zelden,8,6,Eens,Oneens,Eens,Eens,6,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Nee,Vrouw,1998,Dorp,agnost,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,4,4,Ja,75-100%,1,aangepast,Programmeren,AD(H)D;Paniekaanvallen;,2,2,1,4,Nooit,6,Slecht,Zeer onregelmatig,Af en toe,11,6,Helemaal eens,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens",11,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Nee,Nee,Man,1999,Dorp,atheïst,Nederlands,Lager secundair,Bachelor of equivalent,TSO,4,4,Nee,75-100%,1,model,Programmeren,,1,0,1,0,Nooit,8,Goed,Regelmatig,Nooit,8,8,Helemaal eens,Eens,Oneens,Eens,5,,"Noch eens, noch oneens",Eens,Helemaal oneens,Oneens
Ja ,Ja,Man,1996,Stad,agnost,Nederlands,Weet niet,Weet niet,ASO,4,3,Ja,75-100%,1,aangepast,Systeembeheer,,1.5,4,0.5,0,Nooit,6,Goed,Zeer onregelmatig,Zelden,9,5,Eens,Eens,Helemaal oneens,Helemaal eens,11,6,Oneens,Eens,Helemaal oneens,Eens
Ja ,Ja,Man,1998,Stad,christen,Nederlands,Hoger secundair,Bachelor of equivalent,TSO,4,4,Ja,50-74%,2,aangepast,Programmeren,,1.5,1,0,1,Maandelijks,8,Goed,Zeer onregelmatig,Zelden,11,9,Eens,Eens,Helemaal oneens,Eens,11,7.5,Eens,Eens,Oneens,Eens
Ja ,Ja,Man,1999,Platteland,atheïst,Nederlands,Hoger secundair,Bachelor of equivalent,TSO,4,4,Ja,75-100%,1,aangepast,Programmeren,Gehoorverlies;,1,0,0,3,Nooit,5,Slecht,Regelmatig,Meestal,10,4,"Noch eens, noch oneens","Noch eens, noch oneens",Helemaal oneens,Eens,12,6,"Noch eens, noch oneens","Noch eens, noch oneens",Helemaal oneens,Eens
Ja ,Ja,Vrouw,1997,Stad,atheïst,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,4,4,Nee,75-100%,1,model,Programmeren,,6,0,0,1,Nooit,7,"Noch slecht, noch goed",Onregelmatig,Af en toe,14,6,Eens,Oneens,Oneens,Eens,,,,,,
Ja ,Ja,Man,1997,Stad,atheïst,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,4,4,Ja,50-74%,1,model,Programmeren,,0.5,10,0,3,Nooit,7,"Noch slecht, noch goed",Zeer onregelmatig,Zelden,17,6,Helemaal eens,"Noch eens, noch oneens",Helemaal oneens,Helemaal eens,17,7,Eens,"Noch eens, noch oneens","Noch eens, noch oneens",Oneens
Nee,Ja,Man,1998,Platteland,christen,Nederlands,Hoger secundair,Lager secundair,TSO,4,4,Ja,75-100%,1,aangepast,Programmeren,,2,2,2,0,Nooit,5,"Noch slecht, noch goed",Regelmatig,Zelden,13,6,Eens,"Noch eens, noch oneens",Oneens,Oneens,14,6,Eens,"Noch eens, noch oneens",Helemaal oneens,"Noch eens, noch oneens"
Nee,Nee,Man,1998,Stad,,Nederlands,Bachelor of equivalent,Hoger secundair,TSO,4,2,Ja,75-100%,2,aangepast,Systeembeheer,,2,7,0,0,Nooit,6,"Noch slecht, noch goed",Onregelmatig,Zelden,16,8,Helemaal eens,Eens,Helemaal oneens,Eens,10,8,Helemaal eens,"Noch eens, noch oneens",Oneens,Eens
Nee,Ja,Man,1996,Platteland,christen,Nederlands,Bachelor of equivalent,Bachelor of equivalent,TSO,3,2,Ja,25-49%,2,aangepast,Programmeren,Dyslexie;,0.5,1,0,1,Nooit,7.5,"Noch slecht, noch goed",Onregelmatig,Zelden,,,,,,,9,8.3,"Noch eens, noch oneens",Eens,Eens,Helemaal eens
Nee,Nee,Man,1998,Stad,atheïst,Nederlands,Master of equivalent universiteit,Hoger secundair,ASO,4,4,Nee,75-100%,1,model,Programmeren,,1.5,6,0,3,Nooit,7,Goed,Zeer onregelmatig,Af en toe,6,6,"Noch eens, noch oneens",Oneens,Oneens,"Noch eens, noch oneens",10,7,"Noch eens, noch oneens",Eens,Oneens,Oneens
Ja ,Ja,Man,1999,Dorp,christen,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,4,6,Ja,75-100%,1,aangepast,Programmeren,,4,6,1,10,Nooit,6,Goed,Onregelmatig,Zelden,17,6.5,Helemaal eens,Eens,Oneens,Helemaal eens,11,5,Eens,Oneens,Oneens,Helemaal eens
Nee,Nee,Man,1999,Dorp,atheïst,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,TSO,4,4,Ja,75-100%,1,model,Programmeren,,0.5,0,0,2,Nooit,7.5,Zeer goed,Regelmatig,Zelden,6,7,"Noch eens, noch oneens",Eens,Oneens,Eens,2,7,"Noch eens, noch oneens",Eens,Eens,Eens
Ja ,Nee,Man,1997,Platteland,atheïst,Nederlands,Bachelor of equivalent,Hoger secundair,TSO,6,4,Ja,75-100%,3,aangepast,Programmeren,,1.3,6,0,6,Nooit,5,Zeer goed,Onregelmatig,Nooit,10,6,Eens,"Noch eens, noch oneens",Helemaal oneens,Eens,8,8,Helemaal eens,"Noch eens, noch oneens",Eens,Helemaal oneens
Nee,Nee,Man,1992,Dorp,atheïst,Anders,Hoger secundair,Hoger secundair,ASO,4,5,Ja,50-74%,3,aangepast,Programmeren,Geen;,2,0,0,2,Nooit,7,"Noch slecht, noch goed",Regelmatig,Af en toe,10,8,Eens,Eens,Oneens,Eens,,,,,,
Nee,Nee,Man,1998,Stad,atheïst,Nederlands,Weet niet,Weet niet,ASO,8,4,Nee,50-74%,1,model,Programmeren,,1,0,0,0,Nooit,5.5,"Noch slecht, noch goed","Noch onregelmatig, noch regelmatig",Af en toe,6,5,"Noch eens, noch oneens",Oneens,Helemaal eens,Helemaal eens,7,5,Oneens,"Noch eens, noch oneens","Noch eens, noch oneens",Eens
Ja ,Nee,Man,1995,Platteland,christen,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,ASO,5,4,Ja,75-100%,1,aangepast,Systeembeheer,Kleurengestoord;,0.5,3,0,5,Zelden,7,Slecht,Onregelmatig,Zelden,8,9,"Noch eens, noch oneens",Oneens,Oneens,"Noch eens, noch oneens",16,9,"Noch eens, noch oneens",Eens,Helemaal oneens,Eens
Nee,Nee,Man,1996,Stad,atheïst,Nederlands,Hoger secundair,Hoger secundair,ASO,6,4,Ja,25-49%,2,aangepast,Systeembeheer,,1,5,0,10,Nooit,7,Slecht,Zeer onregelmatig,Nooit,15,6,"Noch eens, noch oneens","Noch eens, noch oneens",,"Noch eens, noch oneens",14,7,"Noch eens, noch oneens","Noch eens, noch oneens",Helemaal oneens,Eens
Ja ,Ja,Man,1997,Platteland,christen,Nederlands,Master of equivalent universiteit,Bachelor of equivalent,ASO,5,4,Ja,75-100%,1,aangepast,Systeembeheer,,0.5,0,1,1,Nooit,6,"Noch slecht, noch goed",Regelmatig,Zelden,12,6.5,Eens,Oneens,Oneens,Helemaal eens,,,,,,
Nee,Nee,Man,1987,Stad,christen,Nederlands,Hoger secundair,Lager secundair,TSO,3,4,Ja,75-100%,1,aangepast,Systeembeheer,Autisme spectrum stoornis ;AD(H)D;,3,0,0,4,Nooit,7,Goed,"Noch onregelmatig, noch regelmatig",Af en toe,14,6.5,Eens,Helemaal oneens,"Noch eens, noch oneens",Eens,7,6,Eens,Eens,Eens,Oneens
Nee,Nee,Man,1999,Stad,christen,Nederlands,Hoger secundair,Hoger secundair,ASO,3,5,Nee,75-100%,1,model,Systeembeheer,,2,5,0,1,Nooit,7.5,Goed,Regelmatig,Af en toe,3,7,"Noch eens, noch oneens",Eens,Oneens,Oneens,,,,,,
Ja ,Ja,Man,1997,Stad,atheïst,Nederlands,Bachelor of equivalent,Master of equivalent universiteit,ASO,6,3,Ja,50-74%,2,aangepast,Systeembeheer,,1,0,0,3,Nooit,5,Slecht,Zeer onregelmatig,Nooit,8,3,Eens,Helemaal oneens,Helemaal oneens,Eens,8,3,Eens,Eens,Helemaal oneens,Eens
Nee,Nee,Man,1997,Dorp,atheïst,Turks,Hoger secundair,Hoger secundair,TSO,4,3,Ja,75-100%,1,model,Programmeren,,1,0,0,0,Enkele keren per week,8,Zeer goed,Regelmatig,Zelden,8,8,Helemaal eens,Eens,Oneens,Eens,9,7,Eens,Eens,Oneens,"Noch eens, noch oneens"
Nee,Ja,Man,1997,Dorp,atheïst,Nederlands,Bachelor of equivalent,Bachelor of equivalent,TSO,16,0,Nee,75-100%,1,model,Systeembeheer,,3,12,1,0,Nooit,8,"Noch slecht, noch goed",Zeer regelmatig,Af en toe,14,7.5,"Noch eens, noch oneens",Eens,Oneens,Eens,11,7,"Noch eens, noch oneens",Oneens,Eens,Eens
Ja ,Ja,Man,1998,Stad,atheïst,Nederlands,Master of equivalent universiteit,Master of equivalent universiteit,TSO,3,3,Nee,75-100%,1,model,Programmeren,,1,2,0,50,Zelden,8,Goed,Regelmatig,Zelden,17,7.5,"Noch eens, noch oneens",Oneens,Eens,"Noch eens, noch oneens",6,8.5,"Noch eens, noch oneens",Helemaal oneens,Helemaal oneens,Eens
Nee,Ja,Man,1998,Stad,atheïst,Nederlands,Weet niet,Hoger secundair,TSO,6,2,Nee,75-100%,1,model,Programmeren,Depressie;,1.5,0,0,0.75,Nooit,5,Slecht,Regelmatig,Elke nacht,7,6,Eens,"Noch eens, noch oneens","Noch eens, noch oneens",Helemaal eens,12,4,Eens,Oneens,Eens,"Noch eens, noch oneens"
Ja ,Ja,Man,1999,Stad,christen,Nederlands,Doctoraat,Master of equivalent universiteit,TSO,8,4,Ja,75-100%,1,aangepast,Programmeren,Tinitus (oorsuizingen);,1,0,0.2,4,Nooit,7,Slecht,Zeer onregelmatig,Zelden,13,7,Eens,Oneens,Eens,Helemaal eens,13,4,"Noch eens, noch oneens",Helemaal oneens,Eens,"Noch eens, noch oneens"
Ja ,Nee,Man,1996,Platteland,agnost,Nederlands,Hoger secundair,Bachelor of equivalent,TSO,4,3,Ja,75-100%,1,aangepast,Programmeren,Disortografie;Tinitus (oorsuizingen);,3,3,2,15,Maandelijks,6,Zeer goed,"Noch onregelmatig, noch regelmatig",Nooit,14,5,Eens,Eens,Helemaal oneens,Eens,8,,Eens,Oneens,Helemaal oneens,"Noch eens, noch oneens"
Ja ,Nee,Man,1996,Platteland,agnost,Nederlands,Hoger secundair,Bachelor of equivalent,TSO,4,3,Ja,75-100%,1,aangepast,Programmeren,Disortografie;Tinitus (oorsuizingen);,2.5,4,1,15,Maandelijks,6,Zeer goed,Onregelmatig,Nooit,,,,,,,,,,,,
Nee,Ja,Man,1998,Stad,agnost,Nederlands,Hoger secundair,Hoger secundair,ASO,3,2,Nee,75-100%,1,model,Programmeren,,1,1,0,0,Nooit,7,Goed,Regelmatig,Nooit,6,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",19,7,Eens,Helemaal oneens,"Noch eens, noch oneens",Helemaal eens
Ja ,Ja,Vrouw,1997,Stad,atheïst,Nederlands,Hoger secundair,Bachelor of equivalent,ASO,8,5,Ja,25-49%,2,aangepast,Programmeren,AD(H)D;Dyslexie;Nachtmerries;Depressie;,2,3,0,10,Zelden,8,"Noch slecht, noch goed",Regelmatig,Af en toe,17,5,Eens,"Noch eens, noch oneens",Eens,Eens,14,8,Oneens,Oneens,Eens,Helemaal eens
Ja ,Ja,Man,,Stad,christen,Nederlands,Hoger secundair,Lager secundair,ASO,3,4,Ja,75-100%,1,aangepast,Programmeren,,0.5,0,0,3,Zelden,6,Zeer slecht,"Noch onregelmatig, noch regelmatig",Meestal,13,7,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens",6,5,"Noch eens, noch oneens",Oneens,Oneens,"Noch eens, noch oneens"
Nee,Nee,Man,1999,Anders,,Nederlands,Bachelor of equivalent,Bachelor of equivalent,ASO,4,5,Nee,75-100%,1,model,Programmeren,anxiety;AD(H)D;Paniekaanvallen;,4.5,3,1,0,Nooit,7,Slecht,Onregelmatig,Af en toe,16,6,"Noch eens, noch oneens",Eens,"Noch eens, noch oneens",Eens,11,5.5,"Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens","Noch eens, noch oneens"
Ja ,Ja,Man,1998,Platteland,moslim,Nederlands,Weet niet,Hoger secundair,BSO,2,0,Nee,75-100%,1,model,Programmeren,AD(H)D;,6,13,1,0,Nooit,6,Goed,Regelmatig,Nooit,7,5,"Noch eens, noch oneens",Oneens,"Noch eens, noch oneens","Noch eens, noch oneens",6,6,Eens,Eens,Oneens,Eens
